title,type,genres,releaseYear,imdbId,imdbAverageRating,imdbNumVotes,availableCountries
Ariel,movie,"Comedy, Crime, Drama",1988,tt0094675,7.4,9237,
"Shadows in Paradise",movie,"Comedy, Drama, Music",1986,tt0092149,7.4,8071,
"Forrest Gump",movie,"Drama, Romance",1994,tt0109830,8.8,2391108,
"American Beauty",movie,Drama,1999,tt0169547,8.3,1252575,
"The Fifth Element",movie,"Action, Adventure, Sci-Fi",1997,tt0119116,7.6,528923,
Jarhead,movie,"Biography, Drama, War",2005,tt0418763,7,216655,
Unforgiven,movie,"Drama, Western",1992,tt0105695,8.2,456264,
"Eternal Sunshine of the Spotless Mind",movie,"Drama, Romance, Sci-Fi",2004,tt0338013,8.3,1141456,
"Amores Perros",movie,"Drama, Thriller",2000,tt0245712,8,268493,
"A History of Violence",movie,"Action, Crime, Drama",2005,tt0399146,7.4,265409,
"Talk to Her",movie,"Drama, Mystery, Romance",2002,tt0287467,7.9,120167,
"8 Mile",movie,"Drama, Music",2002,tt0298203,7.2,339645,
"Paradise Now",movie,"Crime, Drama, Thriller",2005,tt0445620,7.4,24546,
"Million Dollar Baby",movie,"Drama, Sport",2004,tt0405159,8.1,748695,
"Billy Elliot",movie,"Drama, Music",2000,tt0249462,7.7,148380,
"American History X",movie,"Crime, Drama",1998,tt0120586,8.5,1235557,
"Mars Attacks!",movie,"Comedy, Sci-Fi",1996,tt0116996,6.4,252926,
"Before Sunrise",movie,"Comedy, Drama, Romance",1995,tt0112471,8.1,361234,
Memento,movie,"Mystery, Thriller",2000,tt0209144,8.4,1384727,
Hero,movie,"Action, Adventure, Drama",2002,tt0299977,7.9,191087,
"Before Sunset",movie,"Drama, Romance",2004,tt0381681,8.1,303643,
"Nausicaä of the Valley of the Wind",movie,"Adventure, Animation, Sci-Fi",1984,tt0087544,8,191368,
"Open Water",movie,"Adventure, Drama, Horror",2003,tt0374102,5.8,58032,
"Raiders of the Lost Ark",movie,"Action, Adventure",1981,tt0082971,8.4,1078631,
"Indiana Jones and the Temple of Doom",movie,"Action, Adventure",1984,tt0087469,7.5,554065,
"Dirty Dancing",movie,"Drama, Music, Romance",1987,tt0092890,7.1,270515,
"Indiana Jones and the Last Crusade",movie,"Action, Adventure",1989,tt0097576,8.2,841754,
"Beverly Hills Cop",movie,"Action, Comedy, Crime",1984,tt0086960,7.4,225034,
"Beverly Hills Cop II",movie,"Action, Comedy, Crime",1987,tt0092644,6.6,144023,
Gladiator,movie,"Action, Adventure, Drama",2000,tt0172495,8.5,1769053,
"All About My Mother",movie,"Comedy, Drama, Romance",1999,tt0185125,7.8,107178,
"Léon: The Professional",movie,"Action, Crime, Drama",1994,tt0110413,8.5,1307878,
"Open Hearts",movie,"Drama, Romance",2002,tt0315543,7.5,11352,
