Title,Type,Year,Rating,Votes,Genre
Ariel,movie,1988,7.4,9229.0,Comedy
Shadows in Paradise,movie,1986,7.4,8060.0,Comedy
Forrest Gump,movie,1994,8.8,2388543.0,Drama
American Beauty,movie,1999,8.3,1251724.0,Drama
The Fifth Element,movie,1997,7.6,528566.0,Action
Jarhead,movie,2005,7.0,216304.0,Biography
Unforgiven,movie,1992,8.2,455909.0,Drama
Eternal Sunshine of the Spotless Mind,movie,2004,8.3,1140267.0,Drama
Amores Perros,movie,2000,8.0,268341.0,Drama
A History of Violence,movie,2005,7.4,265189.0,Action
Talk to Her,movie,2002,7.9,120123.0,Drama
8 Mile,movie,2002,7.2,339308.0,Drama
Paradise Now,movie,2005,7.4,24539.0,Crime
Million Dollar Baby,movie,2004,8.1,748152.0,Drama
Billy Elliot,movie,2000,7.7,148283.0,Drama
American History X,movie,1998,8.5,1234571.0,Crime
Mars Attacks!,movie,1996,6.4,252765.0,Comedy
Before Sunrise,movie,1995,8.1,360637.0,Comedy
Memento,movie,2000,8.4,1383254.0,Mystery
Hero,movie,2002,7.9,191003.0,Action
Before Sunset,movie,2004,8.1,303299.0,Drama
Nausicaä of the Valley of the Wind,movie,1984,8.0,191224.0,Adventure
Open Water,movie,2003,5.8,57989.0,Adventure
Raiders of the Lost Ark,movie,1981,8.4,1077704.0,Action
Indiana Jones and the Temple of Doom,movie,1984,7.5,553661.0,Action
Dirty Dancing,movie,1987,7.1,270222.0,Drama
Indiana Jones and the Last Crusade,movie,1989,8.2,840966.0,Action
Beverly Hills Cop,movie,1984,7.4,224664.0,Action
Beverly Hills Cop II,movie,1987,6.6,143882.0,Action
Gladiator,movie,2000,8.5,1767115.0,Action
All About My Mother,movie,1999,7.8,107065.0,Comedy
Léon: The Professional,movie,1994,8.5,1306701.0,Action
Open Hearts,movie,2002,7.5,11330.0,Drama
Taxi Driver,movie,1976,8.2,982705.0,Crime
Run Lola Run,movie,1998,7.6,213822.0,Action
Back to the Future,movie,1985,8.5,1383148.0,Adventure
Snatch,movie,2000,8.2,948725.0,Comedy
Scarface,movie,1983,8.3,970141.0,Crime
Italian for Beginners,movie,2000,7.0,14246.0,Comedy
The Untouchables,movie,1987,7.8,344458.0,Crime
Charlie and the Chocolate Factory,movie,2005,6.7,552657.0,Adventure
The Lord of the Rings: The Fellowship of the Ring,movie,2001,8.9,2116153.0,Adventure
The Lord of the Rings: The Two Towers,movie,2002,8.8,1880153.0,Adventure
The Lord of the Rings: The Return of the King,movie,2003,9.0,2085825.0,Adventure
Princess Mononoke,movie,1997,8.3,462353.0,Adventure
Spirited Away,movie,2001,8.6,914957.0,Adventure
"O Brother, Where Art Thou?",movie,2000,7.7,342148.0,Adventure
Groundhog Day,movie,1993,8.0,718817.0,Comedy
Bad Education,movie,2004,7.4,65007.0,Crime
Donnie Darko,movie,2001,8.0,884808.0,Drama
Brokeback Mountain,movie,2005,7.7,402352.0,Drama
"Crouching Tiger, Hidden Dragon",movie,2000,7.9,288624.0,Action
Akira,movie,1988,8.0,216640.0,Animation
48 Hrs.,movie,1982,6.9,90012.0,Action
Lost in Translation,movie,2003,7.7,512116.0,Comedy
The Dark Knight,movie,2008,9.0,3031913.0,Action
Ocean's Eleven,movie,2001,7.7,649100.0,Crime
Ocean's Twelve,movie,2004,6.5,427843.0,Crime
Back to the Future Part II,movie,1989,7.8,599689.0,Adventure
Saw,movie,2004,7.6,491186.0,Horror
Jackie Brown,movie,1997,7.5,390789.0,Crime
Sin City,movie,2005,8.0,808858.0,Crime
Sin City: A Dame to Kill For,movie,2014,6.5,175181.0,Action
The Name of the Rose,movie,1986,7.7,123103.0,Drama
Amélie,movie,2001,8.3,820341.0,Comedy
Back to the Future Part III,movie,1990,7.5,502020.0,Adventure
Saw III,movie,2006,6.2,221763.0,Horror
Saw II,movie,2005,6.6,288560.0,Horror
Indiana Jones and the Kingdom of the Crystal Skull,movie,2008,6.2,504101.0,Action
Volver,movie,2006,7.6,110476.0,Comedy
Syriana,movie,2005,6.9,136684.0,Drama
Stand by Me,movie,1986,8.1,466207.0,Adventure
The Godfather,movie,1972,9.2,2134065.0,Crime
The Godfather Part II,movie,1974,9.0,1435894.0,Crime
In China They Eat Dogs,movie,1999,7.3,23916.0,Action
Ghost,movie,1990,7.1,248411.0,Drama
Willy Wonka & the Chocolate Factory,movie,1971,7.8,237657.0,Adventure
King Kong,movie,2005,7.2,460350.0,Action
Live Flesh,movie,1997,7.3,34849.0,Drama
Batman,movie,1989,7.5,420579.0,Action
Batman Begins,movie,2005,8.2,1651244.0,Action
The Shawshank Redemption,movie,1994,9.3,3057007.0,Drama
Terminator 2: Judgment Day,movie,1991,8.6,1236985.0,Action
A River Runs Through It,movie,1992,7.2,67991.0,Drama
Meet Joe Black,movie,1998,7.2,284512.0,Drama
Ocean's Thirteen,movie,2007,6.9,378510.0,Crime
Rio Bravo,movie,1959,8.0,71220.0,Western
Swimming Pool,movie,2003,6.7,50152.0,Crime
Beverly Hills Cop III,movie,1994,5.5,97752.0,Action
"Rome, Open City",movie,1945,8.0,32233.0,Drama
Bruce Almighty,movie,2003,6.8,454084.0,Comedy
Mystic River,movie,2003,7.9,505315.0,Crime
Jurassic Park,movie,1993,8.2,1123519.0,Action
The Lost World: Jurassic Park,movie,1997,6.6,460437.0,Action
Jurassic Park III,movie,2001,5.9,353817.0,Action
Once Upon a Time in the West,movie,1968,8.5,369789.0,Drama
Night on Earth,movie,1991,7.7,68922.0,Comedy
Eyes Wide Shut,movie,1999,7.5,401291.0,Drama
Batman Returns,movie,1992,7.1,340732.0,Action
Das Boot,movie,1981,8.4,280013.0,Drama
Inside Man,movie,2006,7.6,414271.0,Crime
A Fistful of Dollars,movie,1964,7.9,245050.0,Drama
Chocolat,movie,2000,7.2,207004.0,Drama
Basic Instinct,movie,1992,7.1,233025.0,Drama
Driving Miss Daisy,movie,1989,7.3,121382.0,Comedy
Summer in Berlin,movie,2005,6.9,3057.0,Drama
8½,movie,1963,8.0,129582.0,Drama
The Pianist,movie,2002,8.5,971571.0,Biography
Schindler's List,movie,1993,9.0,1529796.0,Biography
Vertigo,movie,1958,8.2,446400.0,Mystery
The Day After Tomorrow,movie,2004,6.5,498079.0,Action
La Dolce Vita,movie,1960,8.0,82757.0,Comedy
Sissi,movie,1955,7.0,10599.0,Comedy
Sissi: The Young Empress,movie,1956,6.6,7726.0,Drama
Sissi: The Fateful Years of an Empress,movie,1957,6.6,6321.0,Drama
Erin Brockovich,movie,2000,7.5,235135.0,Biography
As It Is in Heaven,movie,2004,7.5,18777.0,Comedy
My Own Private Idaho,movie,1991,6.9,64692.0,Drama
Stranger Than Paradise,movie,1984,7.4,42157.0,Comedy
Shaft,movie,2000,6.0,83271.0,Action
The African Queen,movie,1951,7.7,86986.0,Adventure
Good Will Hunting,movie,1997,8.3,1142794.0,Drama
The Seventh Seal,movie,1957,8.1,209412.0,Drama
The Green Mile,movie,1999,8.6,1491526.0,Crime
Reservoir Dogs,movie,1992,8.3,1135557.0,Crime
Poseidon,movie,2006,5.7,113306.0,Action
Monster,movie,2003,7.3,168258.0,Biography
Marnie,movie,1964,7.1,56321.0,Crime
Love Actually,movie,2003,7.6,559491.0,Comedy
Notting Hill,movie,1999,7.2,366719.0,Comedy
One Flew Over the Cuckoo's Nest,movie,1975,8.7,1121003.0,Drama
Casino,movie,1995,8.2,594836.0,Crime
The Blues Brothers,movie,1980,7.9,222616.0,Adventure
Once Were Warriors,movie,1994,7.9,38257.0,Crime
Wallace & Gromit: A Close Shave,movie,1995,8.1,46736.0,Animation
Wallace & Gromit: The Curse of the Were-Rabbit,movie,2005,7.5,153781.0,Adventure
Terminator Salvation,movie,2009,6.5,386430.0,Action
Flashdance,movie,1983,6.2,62117.0,Drama
Psycho,movie,1960,8.5,755289.0,Drama
D.E.B.S.,movie,2004,5.4,18912.0,Action
Rashomon,movie,1950,8.2,190196.0,Crime
Dogville,movie,2003,8.0,164562.0,Crime
Spider-Man,movie,2002,7.4,926454.0,Action
Spider-Man 2,movie,2004,7.5,749350.0,Action
Spider-Man 3,movie,2007,6.3,671215.0,Action
Constantine,movie,2005,7.0,394251.0,Action
Starship Troopers,movie,1997,7.3,336145.0,Action
The Mummy,movie,1999,7.1,483598.0,Action
Rear Window,movie,1954,8.5,549121.0,Drama
Apollo 13,movie,1995,7.7,327109.0,Adventure
The Birds,movie,1963,7.6,213566.0,Drama
Next Door,movie,2005,6.4,10967.0,Mystery
Frenzy,movie,1972,7.4,51604.0,Drama
The Man Who Knew Too Much,movie,1956,7.4,73012.0,Crime
The Lives of Others,movie,2006,8.4,429041.0,Drama
Monty Python's Life of Brian,movie,1979,8.0,429402.0,Comedy
2 Fast 2 Furious,movie,2003,5.9,311321.0,Action
Big Fish,movie,2003,8.0,470020.0,Adventure
Silent Hill,movie,2006,6.5,253249.0,Horror
The Da Vinci Code,movie,2006,6.6,473915.0,Mystery
The Conversation,movie,1974,7.7,131468.0,Drama
The Terminal,movie,2004,7.4,515400.0,Comedy
Titanic,movie,1997,7.9,1343166.0,Drama
City of God,movie,2002,8.6,840205.0,Crime
Full Metal Jacket,movie,1987,8.2,824544.0,Drama
The Matrix,movie,1999,8.7,2162763.0,Action
The Matrix Reloaded,movie,2003,7.2,653412.0,Action
The Matrix Revolutions,movie,2003,6.7,561896.0,Action
Men in Black,movie,1997,7.3,641883.0,Action
Men in Black II,movie,2002,6.2,419813.0,Action
Munich,movie,2005,7.5,247642.0,Drama
Wild Strawberries,movie,1957,8.1,120958.0,Drama
The Passion of the Christ,movie,2004,7.3,263853.0,Drama
The Last Samurai,movie,2003,7.8,490514.0,Action
Wild Things,movie,1998,6.6,136736.0,Crime
The Bodyguard,movie,1992,6.4,154337.0,Drama
Ghostbusters,movie,1984,7.8,471744.0,Action
Grease,movie,1978,7.2,315676.0,Comedy
The Ninth Gate,movie,1999,6.7,204926.0,Mystery
Easy Rider,movie,1969,7.2,120791.0,Adventure
Interview with the Vampire,movie,1994,7.5,363843.0,Drama
The Usual Suspects,movie,1995,8.5,1193501.0,Crime
Bridget Jones's Diary,movie,2001,6.8,278784.0,Comedy
Life Is Beautiful,movie,1997,8.6,781254.0,Comedy
Boyz n the Hood,movie,1991,7.8,162738.0,Crime
Troy,movie,2004,7.3,595103.0,Action
Saw IV,movie,2007,5.9,171744.0,Horror
Twister,movie,1996,6.6,244910.0,Action
Central Station,movie,1998,8.0,48122.0,Drama
Oldboy,movie,2003,8.3,682301.0,Action
Harry Potter and the Sorcerer's Stone,movie,2001,7.7,907329.0,Adventure
Harry Potter and the Chamber of Secrets,movie,2002,7.4,731969.0,Adventure
Harry Potter and the Prisoner of Azkaban,movie,2004,7.9,731847.0,Adventure
Harry Potter and the Goblet of Fire,movie,2005,7.7,719899.0,Adventure
Harry Potter and the Order of the Phoenix,movie,2007,7.5,668684.0,Action
Pulp Fiction,movie,1994,8.8,2343670.0,Crime
Contact,movie,1997,7.5,304141.0,Drama
The Piano,movie,1993,7.5,98617.0,Drama
Together,movie,2000,7.4,25113.0,Comedy
Top Gun,movie,1986,7.0,530483.0,Action
The Last Emperor,movie,1987,7.7,116183.0,Biography
Shaun of the Dead,movie,2004,7.9,620803.0,Comedy
V for Vendetta,movie,2005,8.1,1217569.0,Action
Monty Python and the Holy Grail,movie,1975,8.2,589431.0,Adventure
The Evil Dead,movie,1981,7.4,243293.0,Horror
Harry Potter and the Half-Blood Prince,movie,2009,7.6,630141.0,Action
Goodfellas,movie,1990,8.7,1331652.0,Biography
Gandhi,movie,1982,8.0,244295.0,Biography
Kolya,movie,1996,7.7,16620.0,Comedy
Mr. & Mrs. Smith,movie,2005,6.5,569743.0,Action
Closely Watched Trains,movie,1966,7.6,14489.0,Comedy
The Fog,movie,2005,3.7,40426.0,Horror
City of Angels,movie,1998,6.7,131806.0,Drama
Persona,movie,1966,8.0,136560.0,Drama
Roman Holiday,movie,1953,8.0,153729.0,Comedy
Se7en,movie,1995,8.6,1918946.0,Crime
Shrek,movie,2001,7.9,776151.0,Adventure
Shrek 2,movie,2004,7.4,533283.0,Adventure
Shrek the Third,movie,2007,6.1,348558.0,Adventure
Austin Powers: International Man of Mystery,movie,1997,7.0,266536.0,Adventure
Austin Powers: The Spy Who Shagged Me,movie,1999,6.7,256814.0,Action
Underworld: Evolution,movie,2006,6.7,214343.0,Action
Barren Lives,movie,1963,7.5,3194.0,Drama
American Graffiti,movie,1973,7.4,102693.0,Comedy
Close Encounters of the Third Kind,movie,1977,7.6,226015.0,Drama
Dune,movie,1984,6.3,188934.0,Action
In the Mood for Love,movie,2000,8.1,177932.0,Drama
2046,movie,2004,7.4,64024.0,Drama
